source_key,source_table,parquet_name,rows,status,error,written_at
caixa_001_2012_08_agosto_base_pf_e_pj_06_08_12.csv,caixa_001_2012_08_agosto_base_pf_e_pj_06_08_12,caixa_001_2012_08_agosto_base_pf_e_pj_06_08_12.parquet,16524,success,,2026-08-31T12:17:49.222804+00:00
caixa_001_2012_08_agosto_base_pf_e_pj_14_08_12.csv,caixa_001_2012_08_agosto_base_pf_e_pj_14_08_12,caixa_001_2012_08_agosto_base_pf_e_pj_14_08_12.parquet,16800,success,,2026-08-31T12:17:57.396461+00:00
caixa_001_2012_08_agosto_base_pf_e_pj_20_08_12.csv,caixa_001_2012_08_agosto_base_pf_e_pj_20_08_12,caixa_001_2012_08_agosto_base_pf_e_pj_20_08_12.parquet,16984,success,,2026-08-31T12:18:03.632537+00:00
caixa_001_2012_08_agosto_base_pf_e_pj_24_08_12.csv,caixa_001_2012_08_agosto_base_pf_e_pj_24_08_12,caixa_001_2012_08_agosto_base_pf_e_pj_24_08_12.parquet,17038,success,,2026-08-31T12:18:15.061742+00:00
caixa_001_2012_09_setembro_bases_relat_rio_executivo_10_09_12.csv,caixa_001_2012_09_setembro_bases_relatório_executivo_10_09_12,caixa_001_2012_09_setembro_bases_relatório_executivo_10_09_12.parquet,17408,success,,2026-08-31T12:18:28.354436+00:00
caixa_001_2012_08_agosto_bases_relat_rio_executivo_31_08_12.csv,caixa_001_2012_08_agosto_bases_relatório_executivo_31_08_12,caixa_001_2012_08_agosto_bases_relatório_executivo_31_08_12.parquet,17220,success,,2026-08-31T12:18:29.261220+00:00
caixa_001_2012_09_setembro_bases_relat_rio_executivo_26092012.csv,caixa_001_2012_09_setembro_bases_relatório_executivo_26092012,caixa_001_2012_09_setembro_bases_relatório_executivo_26092012.parquet,17744,success,,2026-08-31T12:18:51.398663+00:00
caixa_001_2012_09_setembro_bases_relat_rio_executivo_15_09_12.csv,caixa_001_2012_09_setembro_bases_relatório_executivo_15_09_12,caixa_001_2012_09_setembro_bases_relatório_executivo_15_09_12.parquet,17566,success,,2026-08-31T12:19:02.223556+00:00
bb_2019_2019_05_07_pj_pf.csv,bb_2019_2019_05_07_pj_pf,bb_2019_2019_05_07_pj_pf.parquet,482750,success,,2026-08-31T12:19:02.931672+00:00
caixa_001_2012_10_outubro_bases_relat_rio_executivo_31102012.csv,caixa_001_2012_10_outubro_bases_relatório_executivo_31102012,caixa_001_2012_10_outubro_bases_relatório_executivo_31102012.parquet,18738,success,,2026-08-31T12:19:11.109995+00:00
caixa_001_2012_11_novembro_bases_relat_rio_executivo_12112012.csv,caixa_001_2012_11_novembro_bases_relat_rio_executivo_12112012,caixa_001_2012_11_novembro_bases_relat_rio_executivo_12112012.parquet,19036,success,,2026-08-31T12:19:14.571010+00:00
caixa_001_2012_11_novembro_bases_relat_rio_executivo_28112012.csv,caixa_001_2012_11_novembro_bases_relatório_executivo_28112012,caixa_001_2012_11_novembro_bases_relatório_executivo_28112012.parquet,19398,success,,2026-08-31T12:19:16.336436+00:00
caixa_001_2012_12_dezembro_bases_relat_rio_executivo_31122012.csv,caixa_001_2012_12_dezembro_bases_relatório_executivo_31122012,caixa_001_2012_12_dezembro_bases_relatório_executivo_31122012.parquet,20904,success,,2026-08-31T12:19:37.557215+00:00
caixa_001_2013_01___janeiro_bases_relat_rio_executivo_31012013.csv,caixa_001_2013_01___janeiro_bases_relatório_executivo_31012013,caixa_001_2013_01___janeiro_bases_relatório_executivo_31012013.parquet,21308,success,,2026-08-31T12:19:49.148444+00:00
caixa_001_2013_02___fevereiro_propostas_base_far.csv,caixa_001_2013_02___fevereiro_propostas_base_far,caixa_001_2013_02___fevereiro_propostas_base_far.parquet,1928,success,,2026-08-31T12:19:51.421764+00:00
caixa_001_2013_03___mar_o_bases_relat_rio_executivo_15032013.csv,caixa_001_2013_03___março_bases_relatório_executivo_15032013,caixa_001_2013_03___março_bases_relatório_executivo_15032013.parquet,22082,success,,2026-08-31T12:22:04.344922+00:00
bb_2018_2018_10_30_pj_pf.csv,bb_2018_2018_10_30_pj_pf,bb_2018_2018_10_30_pj_pf.parquet,463290,success,,2026-08-31T12:23:50.543549+00:00
caixa_001_2013_03___mar_o_bases_relat_rio_executivo_28032013.csv,caixa_001_2013_03___março_bases_relat_rio_executivo_28032013,caixa_001_2013_03___março_bases_relat_rio_executivo_28032013.parquet,22602,success,,2026-08-31T12:23:53.634441+00:00
caixa_001_2012_09_setembro_bases_relat_rio_executivo_30092012.csv,caixa_001_2012_09_setembro_bases_relatório_executivo_30092012,caixa_001_2012_09_setembro_bases_relatório_executivo_30092012.parquet,18016,success,,2026-08-31T12:24:01.200561+00:00
caixa_001_2013_05___maio_bases_relat_rio_executivo_150513.csv,caixa_001_2013_05___maio_bases_relat_rio_executivo_150513,caixa_001_2013_05___maio_bases_relat_rio_executivo_150513.parquet,23314,success,,2026-08-31T12:24:05.544000+00:00
caixa_001_2013_04___abril_bases_relat_rio_executivo_30042013.csv,caixa_001_2013_04___abril_bases_relatório_executivo_30042013,caixa_001_2013_04___abril_bases_relatório_executivo_30042013.parquet,23046,success,,2026-08-31T12:24:47.991670+00:00
caixa_001_2012_12_dezembro_bases_relat_rio_executivo_21122012.csv,caixa_001_2012_12_dezembro_bases_relatório_executivo_21122012,caixa_001_2012_12_dezembro_bases_relatório_executivo_21122012.parquet,20092,success,,2026-08-31T12:24:53.382316+00:00
caixa_001_2014_11_novembro_bases_relat_rio_executivo_15112014.csv,caixa_001_2014_11_novembro_bases_relatório_executivo_15112014,caixa_001_2014_11_novembro_bases_relatório_executivo_15112014.parquet,35188,success,,2026-08-31T12:25:09.423753+00:00
caixa_001_2015_02_fevereiro_bases_relat_rio_executivo_28022015.csv,caixa_001_2015_02_fevereiro_bases_relatório_executivo_28022015,caixa_001_2015_02_fevereiro_bases_relatório_executivo_28022015.parquet,36705,success,,2026-08-31T12:26:39.831704+00:00
caixa_001_2014_11_novembro_bases_relat_rio_executivo_30112014.csv,caixa_001_2014_11_novembro_bases_relatório_executivo_30112014,caixa_001_2014_11_novembro_bases_relatório_executivo_30112014.parquet,35532,success,,2026-08-31T12:27:30.410057+00:00
caixa_001_2015_03_marco_bases_relat_rio_executivo_31032015.csv,caixa_001_2015_03_marco_bases_relatório_executivo_31032015,caixa_001_2015_03_marco_bases_relatório_executivo_31032015.parquet,36883,success,,2026-08-31T12:28:06.596783+00:00
caixa_001_2015_05_maio_bases_relat_rio_executivo_31052015.csv,caixa_001_2015_05_maio_bases_relat_rio_executivo_31052015,caixa_001_2015_05_maio_bases_relat_rio_executivo_31052015.parquet,37331,success,,2026-08-31T12:28:25.309020+00:00
caixa_001_2015_04_abril_bases_relat_rio_executivo_30042015.csv,caixa_001_2015_04_abril_bases_relatório_executivo_30042015,caixa_001_2015_04_abril_bases_relatório_executivo_30042015.parquet,36882,success,,2026-08-31T12:30:08.899040+00:00
caixa_001_2015_06_junho_bases_relat_rio_executivo_30062015.csv,caixa_001_2015_06_junho_bases_relatório_executivo_30062015,caixa_001_2015_06_junho_bases_relatório_executivo_30062015.parquet,37603,success,,2026-08-31T12:33:22.450665+00:00
caixa_001_2015_07_julho_bases_relat_rio_executivo_31072015.csv,caixa_001_2015_07_julho_bases_relatório_executivo_31072015,caixa_001_2015_07_julho_bases_relatório_executivo_31072015.parquet,37977,success,,2026-08-31T12:33:39.061085+00:00
caixa_001_2015_04_abril_bases_relat_rio_executivo_30042015_v2.csv,caixa_001_2015_04_abril_bases_relatório_executivo_30042015_v2,caixa_001_2015_04_abril_bases_relatório_executivo_30042015_v2.parquet,37096,success,,2026-08-31T12:34:45.452436+00:00
caixa_001_2013_12___dezembro_bases_relat_rio_executivo.csv,caixa_001_2013_12___dezembro_bases_relat_rio_executivo,caixa_001_2013_12___dezembro_bases_relat_rio_executivo.parquet,29888,success,,2026-08-31T12:34:55.082459+00:00
caixa_001_2015_07_julho_min_cidades_pj.csv,caixa_001_2015_07_julho_min_cidades_pj,caixa_001_2015_07_julho_min_cidades_pj.parquet,1992,success,,2026-08-31T12:34:55.184782+00:00
