"source_table","content_hash","file_size","canonical_table","is_duplicate"
caixa_001_2012_12_dezembro_pmcmv_relatório_executivo_21122012,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2012_12_dezembro_pmcmv_relatório_executivo_31122012,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2012_12_dezembro_rel_executivo_resumo_21122012,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2013_01___janeiro_bases_relatório_executivo_31012013,"1af3997f07906ece3c2add411f43da6f",21308,caixa_001_2013_01___janeiro_bases_relatório_executivo_31012013,false
caixa_001_2013_01___janeiro_pmcmv_relatório_executivo_31012013,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2013_01___janeiro_rel_executivo_resumo_31012013,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2013_02___fevereiro_propostas_base_far,"73163fefe8d910fa800c9cdad6359468",1928,caixa_001_2013_02___fevereiro_propostas_base_far,false
caixa_001_2013_02___fevereiro_rel_executivo_resumo_15022013,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2013_02___fevereiro_rel_executivo_resumo_15022013_v2,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2013_02___fevereiro_rel_executivo_resumo_28022013,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2013_03___março_bases_relat_rio_executivo_28032013,"2f4bc785ce4e627d498c8fea876ac83f",22602,caixa_001_2013_03___março_bases_relat_rio_executivo_28032013,false
caixa_001_2013_03___março_bases_relatório_executivo_15032013,e9fbb31458afdc0d778fcc92081d5349,22082,caixa_001_2013_03___março_bases_relatório_executivo_15032013,false
caixa_001_2013_03___março_bases_relatório_executivo_28032013,"2f4bc785ce4e627d498c8fea876ac83f",22602,caixa_001_2013_03___março_bases_relat_rio_executivo_28032013,true
caixa_001_2013_03___março_pmcmv_relat_rio_executivo_28032013,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2013_03___março_pmcmv_relatório_executivo_15032013,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2013_03___março_pmcmv_relatório_executivo_28032013,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2013_03___março_rel_executivo_resumo_15032013,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2013_03___março_rel_executivo_resumo_28032013,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2013_04___abril_bases_relatório_executivo_30042013,"6bb5ad005bc6840951bbbbe045b794e2",23046,caixa_001_2013_04___abril_bases_relatório_executivo_30042013,false
caixa_001_2013_04___abril_pmcmv_relat_rio_executivo_30042013,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2013_04___abril_pmcmv_relatório_executivo_30042013,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2013_04___abril_rel_executivo_resumo_30042013,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2013_04___abril_rel_executivo_resumo_30042013_v1,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2013_05___maio_bases_relat_rio_executivo_150513,"069b4504e34baf08a80f6785129a316d",23314,caixa_001_2013_05___maio_bases_relat_rio_executivo_150513,false
caixa_001_2013_05___maio_pmcmv_relat_rio_executivo_150513,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2013_05___maio_rel_executivo_resumo_150513,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2013_12___dezembro_bases_relat_rio_executivo,d23ad18b036dd999f7a6f328d54b1893,29888,caixa_001_2013_12___dezembro_bases_relat_rio_executivo,false
caixa_001_2013_12___dezembro_rel_executivo_resumo,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2014_11_novembro_bases_relatório_executivo_15112014,"5da816df4090b0125768dca022fbb50a",35188,caixa_001_2014_11_novembro_bases_relatório_executivo_15112014,false
caixa_001_2014_11_novembro_bases_relatório_executivo_30112014,def0ae2bdbead014cb67903ed915f528,35532,caixa_001_2014_11_novembro_bases_relatório_executivo_30112014,false
caixa_001_2014_11_novembro_pmcmv_relatório_executivo_15112014,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2014_11_novembro_pmcmv_relatório_executivo_30112014,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2014_11_novembro_rel_executivo_resumo_15112014,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2014_11_novembro_rel_executivo_resumo_comerc_30112014,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_002_2018_bext_ago18,ecb0dd99cadb86404fe9925c142eaa20,600794,caixa_002_2018_bext_ago18,false
caixa_001_2014_12_dezembro_rel_executivo_resumo_31122014,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2014_rel_executivo_resumo_28022015,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2014_rel_executivo_resumo_31012015,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2015_01_janeiro_bases_relatório_executivo_31012015,"099968f4d0da0f0beab3b787d3d9a4d1",36598,caixa_001_2015_01_janeiro_bases_relatório_executivo_31012015,false
caixa_001_2015_01_janeiro_pmcmv_3_relatório_executivo_31012015,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2015_02_fevereiro_bases_relatório_executivo_28022015,"0a74ac24ef35bc4f985576c83d98dc1e",36706,caixa_001_2015_02_fevereiro_bases_relatório_executivo_28022015,false
caixa_001_2015_02_fevereiro_rel_executivo_resumo_28022015,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
