key,layer,extension,size_bytes,size_mb,last_modified,year_hint,tags_preditive,score_preditivo
audit/staging/execution_id=e24fc46afbd14833890b9189ea1e385c/part-0.parquet,audit,parquet,12213,0.012,2026-07-16T23:21:36.008000+00:00,,,0
audit/masking/execution_id=cd787f1995cd42af8e87ffdcf50b4da0/part-0.parquet,audit,parquet,12202,0.012,2026-08-10T19:42:29.056000+00:00,,,0
audit/staging/execution_id=09c6210f6ba84075a7f869c2529c8c9e/part-0.parquet,audit,parquet,11948,0.011,2026-08-10T19:54:53.078000+00:00,,,0
staging/orcamento_resultado_emendas.csv.parquet,staging,parquet,11882,0.011,2026-08-10T19:57:08.289000+00:00,,,0
staging/dados_abertos_orcamento_emendas_parlamentares_2024.csv.parquet,staging,parquet,11484,0.011,2026-08-10T19:54:52.180000+00:00,2024.0,,0
staging/032020_Validacoes_PMCMV_MAR_2020.xlsx__validacao_mar.parquet,staging,parquet,11236,0.011,2026-07-17T01:19:08.275000+00:00,2020.0,validacao_qualidade,0
audit/staging/execution_id=2d144f707469436d8226ccc7dcdea164/part-0.parquet,audit,parquet,10714,0.01,2026-08-10T19:57:08.783000+00:00,,,0
staging/032020_Validacoes_PMCMV_MAR_2020.xlsx__regras_de_validacao.parquet,staging,parquet,10491,0.01,2026-07-17T01:19:08.247000+00:00,2020.0,validacao_qualidade,0
staging/CORREÇÃO_FASE_PROJETO.xlsx.parquet,staging,parquet,10290,0.01,2026-07-17T02:17:11.497000+00:00,,,0
staging/orcamento_resultado_ogu.csv.parquet,staging,parquet,9515,0.009,2026-08-10T19:57:08.604000+00:00,,,0
raw/novo_mcmv_compra_assistida_rs_propostas_enquadradas.csv,raw,csv,9359,0.009,2026-08-03T17:45:57.307000+00:00,,,0
staging/MCMV_CIDADES_EMENDAS_2026_02_20.xlsx__resumo.parquet,staging,parquet,9202,0.009,2026-07-17T02:34:54.166000+00:00,2026.0,,0
staging/MCMV_CIDADES_EMENDAS_2026_02_06.xlsx__resumo.parquet,staging,parquet,9147,0.009,2026-07-17T02:34:51.561000+00:00,2026.0,,0
staging/PMCMV_CIDADES_MCID_2026_03_01.csv.parquet,staging,parquet,8942,0.009,2026-07-17T02:49:37.441000+00:00,2026.0,,0
staging/MCMV_CIDADES_EMENDAS_2026_06_24.xlsx__resumo.parquet,staging,parquet,8739,0.008,2026-07-17T02:49:30.988000+00:00,2026.0,,0
staging/MCMV_CIDADES_EMENDAS_2026_04_30.xlsx__resumo.parquet,staging,parquet,8721,0.008,2026-07-17T02:49:19.331000+00:00,2026.0,,0
staging/PMCMV_CIDADES_MCID_2026_02_06_0000.csv.parquet,staging,parquet,8718,0.008,2026-07-17T02:49:37.405000+00:00,2026.0,,0
staging/MCMV_CIDADES_EMENDAS_2026_03_20.xlsx__resumo.parquet,staging,parquet,8714,0.008,2026-07-17T02:49:10.899000+00:00,2026.0,,0
staging/PMCMV_CIDADES_MCID_2026_02_06.csv.parquet,staging,parquet,8688,0.008,2026-07-17T02:49:37.354000+00:00,2026.0,,0
staging/MCMV_CIDADES_EMENDAS_2026_04_17.xlsx__resumo.parquet,staging,parquet,8687,0.008,2026-07-17T02:49:16.456000+00:00,2026.0,,0
staging/MCMV_CIDADES_EMENDAS_2026_03_06.xlsx__resumo.parquet,staging,parquet,8663,0.008,2026-07-17T02:49:08.174000+00:00,2026.0,,0
staging/MCMV_CIDADES_EMENDAS_2026_02_27.xlsx__resumo.parquet,staging,parquet,8599,0.008,2026-07-17T02:34:55.482000+00:00,2026.0,,0
raw/042020_tab_validacao_arquivos_pf.csv,raw,csv,8589,0.008,2026-07-15T23:45:56.289000+00:00,2020.0,validacao_qualidade,0
staging/MCMV_CIDADES_EMENDAS_2026_01_30_0000.xlsx__resumo.parquet,staging,parquet,8589,0.008,2026-07-17T02:34:50.250000+00:00,2026.0,,0
staging/MCMV_CIDADES_EMENDAS_2026_02_13.xlsx__resumo.parquet,staging,parquet,8586,0.008,2026-07-17T02:34:52.829000+00:00,2026.0,,0
staging/MCMV_CIDADES_EMENDAS_2026_01_30.xlsx__resumo.parquet,staging,parquet,8559,0.008,2026-07-17T02:34:49.014000+00:00,2026.0,,0
staging/novo_mcmv_compra_assistida_rs_propostas_enquadradas.csv.parquet,staging,parquet,8322,0.008,2026-08-10T19:53:23.027000+00:00,,,0
staging_dryrun/novo_mcmv_compra_assistida_rs_propostas_enquadradas.csv.parquet,staging_dryrun,parquet,8322,0.008,2026-08-10T19:53:16.779000+00:00,,,0
staging/orcamento_resultado_fundo_social.csv.parquet,staging,parquet,8196,0.008,2026-08-10T19:57:08.407000+00:00,,,0
staging/MCMV_CIDADES_EMENDAS_2026_07_15.xlsx__resumo.parquet,staging,parquet,8106,0.008,2026-07-17T02:49:35.565000+00:00,2026.0,,0
staging/MCMV_CIDADES_EMENDAS_2026_07_01.xlsx__resumo.parquet,staging,parquet,8105,0.008,2026-07-17T02:49:32.535000+00:00,2026.0,,0
staging/MCMV_CIDADES_EMENDAS_2026_06_10.xlsx__resumo.parquet,staging,parquet,8103,0.008,2026-07-17T02:49:28.015000+00:00,2026.0,,0
staging/MCMV_CIDADES_EMENDAS_2026_06_17.xlsx__resumo.parquet,staging,parquet,8103,0.008,2026-07-17T02:49:29.490000+00:00,2026.0,,0
staging/MCMV_CIDADES_EMENDAS_2026_07_08.xlsx__resumo.parquet,staging,parquet,8102,0.008,2026-07-17T02:49:34.036000+00:00,2026.0,,0
staging/MCMV_CIDADES_EMENDAS_2026_04_24.xlsx__resumo.parquet,staging,parquet,8094,0.008,2026-07-17T02:49:17.875000+00:00,2026.0,,0
staging/MCMV_CIDADES_EMENDAS_2026_05_20.xlsx__resumo.parquet,staging,parquet,8090,0.008,2026-07-17T02:49:23.606000+00:00,2026.0,,0
staging/MCMV_CIDADES_EMENDAS_2026_03_13.xlsx__resumo.parquet,staging,parquet,8089,0.008,2026-07-17T02:49:09.521000+00:00,2026.0,,0
staging/MCMV_CIDADES_EMENDAS_2026_05_13.xlsx__resumo.parquet,staging,parquet,8088,0.008,2026-07-17T02:49:22.182000+00:00,2026.0,,0
staging/MCMV_CIDADES_EMENDAS_2026_06_03.xlsx__resumo.parquet,staging,parquet,8087,0.008,2026-07-17T02:49:26.548000+00:00,2026.0,,0
staging/MCMV_CIDADES_EMENDAS_2026_04_10.xlsx__resumo.parquet,staging,parquet,8086,0.008,2026-07-17T02:49:15.054000+00:00,2026.0,,0
staging/MCMV_CIDADES_EMENDAS_2026_05_27.xlsx__resumo.parquet,staging,parquet,8084,0.008,2026-07-17T02:49:25.033000+00:00,2026.0,,0
staging/MCMV_CIDADES_EMENDAS_2026_04_02.xlsx__resumo.parquet,staging,parquet,8083,0.008,2026-07-17T02:49:13.644000+00:00,2026.0,,0
staging/MCMV_CIDADES_EMENDAS_2026_05_08.xlsx__resumo.parquet,staging,parquet,8081,0.008,2026-07-17T02:49:20.766000+00:00,2026.0,,0
