escopo,tipo,arquivo_origem,caminho_relativo,nome,extensao,categoria,tamanho_bytes,modificado_em,periodo_inferido,fonte_inferida,frente_inferida,frente_primaria,detalhe_estrutura,erro
zip,arquivo,SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2025_11_17.zip,FNHIS_SEMANAL_GIGOV_2025_11_17.xls,FNHIS_SEMANAL_GIGOV_2025_11_17.xls,.xls,dado_tabular_ou_serializado,1689088,2025-11-17T15:34:04+00:00,2025-11,nao_identificada,sub50_fnhis,sub50_fnhis,erro_excel:`Import xlrd` failed. Install xlrd >= 2.0.1 for xls Excel support Use pip or conda to install the xlrd package.,
zip,arquivo,SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2025_11_24.zip,FNHIS_SEMANAL_GIGOV_2025_11_24.xls,FNHIS_SEMANAL_GIGOV_2025_11_24.xls,.xls,dado_tabular_ou_serializado,1689088,2025-11-24T15:16:14+00:00,2025-11,nao_identificada,sub50_fnhis,sub50_fnhis,erro_excel:`Import xlrd` failed. Install xlrd >= 2.0.1 for xls Excel support Use pip or conda to install the xlrd package.,
zip,arquivo,SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2025_12_01.zip,FNHIS_SEMANAL_GIGOV_2025_12_01.xls,FNHIS_SEMANAL_GIGOV_2025_12_01.xls,.xls,dado_tabular_ou_serializado,1689088,2025-12-01T15:19:50+00:00,2025-12,nao_identificada,sub50_fnhis,sub50_fnhis,erro_excel:`Import xlrd` failed. Install xlrd >= 2.0.1 for xls Excel support Use pip or conda to install the xlrd package.,
zip,arquivo,SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2025_12_08.zip,FNHIS_SEMANAL_GIGOV_2025_12_08.xls,FNHIS_SEMANAL_GIGOV_2025_12_08.xls,.xls,dado_tabular_ou_serializado,1689088,2025-12-08T15:57:52+00:00,2025-12,nao_identificada,sub50_fnhis,sub50_fnhis,erro_excel:`Import xlrd` failed. Install xlrd >= 2.0.1 for xls Excel support Use pip or conda to install the xlrd package.,
zip,arquivo,SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2025_12_15.zip,FNHIS_SEMANAL_GIGOV_2025_12_15.xls,FNHIS_SEMANAL_GIGOV_2025_12_15.xls,.xls,dado_tabular_ou_serializado,1689088,2025-12-15T16:05:10+00:00,2025-12,nao_identificada,sub50_fnhis,sub50_fnhis,erro_excel:`Import xlrd` failed. Install xlrd >= 2.0.1 for xls Excel support Use pip or conda to install the xlrd package.,
zip,arquivo,SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2025_12_22.zip,FNHIS_SEMANAL_GIGOV_2025_12_22.xls,FNHIS_SEMANAL_GIGOV_2025_12_22.xls,.xls,dado_tabular_ou_serializado,1695232,2025-12-22T15:44:14+00:00,2025-12,nao_identificada,sub50_fnhis,sub50_fnhis,erro_excel:`Import xlrd` failed. Install xlrd >= 2.0.1 for xls Excel support Use pip or conda to install the xlrd package.,
zip,arquivo,SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2025_12_29.zip,FNHIS_SEMANAL_GIGOV_2025_12_29.xls,FNHIS_SEMANAL_GIGOV_2025_12_29.xls,.xls,dado_tabular_ou_serializado,1689088,2025-12-29T16:01:00+00:00,2025-12,nao_identificada,sub50_fnhis,sub50_fnhis,erro_excel:`Import xlrd` failed. Install xlrd >= 2.0.1 for xls Excel support Use pip or conda to install the xlrd package.,
zip,arquivo,SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2026_01_05.zip,FNHIS_SEMANAL_GIGOV_2026_01_05.xls,FNHIS_SEMANAL_GIGOV_2026_01_05.xls,.xls,dado_tabular_ou_serializado,1695232,2026-01-05T11:39:46+00:00,2026-01,nao_identificada,sub50_fnhis,sub50_fnhis,erro_excel:`Import xlrd` failed. Install xlrd >= 2.0.1 for xls Excel support Use pip or conda to install the xlrd package.,
zip,arquivo,SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2026_01_12.zip,FNHIS_SEMANAL_GIGOV_2026_01_12.xls,FNHIS_SEMANAL_GIGOV_2026_01_12.xls,.xls,dado_tabular_ou_serializado,1689088,2026-01-12T16:33:40+00:00,2026-01,nao_identificada,sub50_fnhis,sub50_fnhis,erro_excel:`Import xlrd` failed. Install xlrd >= 2.0.1 for xls Excel support Use pip or conda to install the xlrd package.,
zip,arquivo,SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2026_01_19.zip,FNHIS_SEMANAL_GIGOV_2026_01_19.xls,FNHIS_SEMANAL_GIGOV_2026_01_19.xls,.xls,dado_tabular_ou_serializado,1689088,2026-01-19T16:02:32+00:00,2026-01,nao_identificada,sub50_fnhis,sub50_fnhis,erro_excel:`Import xlrd` failed. Install xlrd >= 2.0.1 for xls Excel support Use pip or conda to install the xlrd package.,
